UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Toobemi,@toobemiofficial,2022-03-24T16:49:09.000Z,"Toobemi
@toobemiofficial
·
24 Mar","You will soon be able to get Toobcoin with #Bitcoin  in the Toobemi app 
#toobemi
514
1,445
1,652",📱,514,"1,445","1,652",['https://pbs.twimg.com/media/FOoQuv2WUAQZXj4?format=png&name=small'],https://twitter.com/toobemiofficial/status/1507036809255174147
Pi Network USA,@PiNetworkWRLD,2022-03-24T20:46:23.000Z,"Pi Network USA
@PiNetworkWRLD
·
25 Mar","#Bitcoin has less than 15k nodes
#Ethereum less than 6k nodes

#PiNetwork over 200k nodes 

#facts #cryptocurrency #Pi
16
48
199",🤷,16,48,199,[],https://twitter.com/PiNetworkWRLD/status/1507096511976509449
Bitcoin Archive,@BTC_Archive,2022-03-24T19:24:10.000Z,"Bitcoin Archive
@BTC_Archive
·
25 Mar","BREAKING: Exxon Mobil is mining #Bitcoin with excess natural gas
- Bloomberg
428
1,584
9,109",🗄 🚀 🌔 💥,428,"1,584","9,109",[],https://twitter.com/BTC_Archive/status/1507075822464778248
Crypto Rover,@rovercrc,2022-03-24T20:45:00.000Z,"Crypto Rover
@rovercrc
·
25 Mar","If #Bitcoin goes 10x 

#Altcoins go 100x
535
341
2,811",,535,341,"2,811",[],https://twitter.com/rovercrc/status/1507096162712502291
MMCrypto,@MMCrypto,2022-03-24T12:28:44.000Z,"MMCrypto
@MMCrypto
·
24 Mar","#BITCOIN BREAKING BEAR BALLS SOON!
481
356
3,437",,481,356,"3,437",[],https://twitter.com/MMCrypto/status/1506971275461382151
Dennis Porter,@Dennis_Porter_,2022-03-24T21:36:52.000Z,"Dennis Porter
@Dennis_Porter_
·
25 Mar","BREAKING: Democrat Senator Gillibrand says she is ""working on"" the #Bitcoin Bill with Senator Lummis. 

It looks like this bill has Bi-Partisan support!
108
250
2,166",,108,250,"2,166",[],https://twitter.com/Dennis_Porter_/status/1507109215462047760
SpacePi,@SpacePi_Com,2022-03-24T16:41:41.000Z,"SpacePi
@SpacePi_Com
·
24 Mar","The journey of SpacePi is the sea of stars.
@Bitcoin
 @VitalikButerin
 @cz_binance
 #PiNetwork #SpacePi
191
201
510",,191,201,510,['https://pbs.twimg.com/ext_tw_video_thumb/1507034189245284352/pu/img/8mJ8a7tjrMPAX3UP.jpg'],https://twitter.com/SpacePi_Com/status/1507034930982785028
Senator Cynthia Lummis,@SenLummis,2022-03-24T21:52:02.000Z,"Senator Cynthia Lummis
@SenLummis
·
25 Mar","Right now in Wyoming, Bitcoin companies are using flared methane from natural gas operations to power their computers. They are keeping methane out of the atmosphere while actively mining Bitcoin. #POLITICOTech
254
1,365
8,305",,254,"1,365","8,305",[],https://twitter.com/SenLummis/status/1507113033369374720
First Squawk,@FirstSquawk,2022-03-24T16:11:09.000Z,"First Squawk
@FirstSquawk
·
24 Mar","RUSSIA WILL ALLOW ""FRIENDLY COUNTRIES"" TO PAY FOR NATURAL GAS IN BITCOIN
364
2,115
8,529",,364,"2,115","8,529",[],https://twitter.com/FirstSquawk/status/1507027246829039619
Crypto Rover,@rovercrc,2022-03-24T17:32:00.000Z,"Crypto Rover
@rovercrc
·
24 Mar","The best time to buy a #Bitcoin is always five years ago.
206
151
1,224",,206,151,"1,224",[],https://twitter.com/rovercrc/status/1507047592399622148
Bitcoin is Freedom,@Bitcoin_Norway,2022-03-24T19:38:40.000Z,"Bitcoin is Freedom
@Bitcoin_Norway
·
25 Mar","People that understand #bitcoin will not sell it ever.
190
203
2,027",🟠,190,203,"2,027",[],https://twitter.com/Bitcoin_Norway/status/1507079471798571019
Def Squad Metaverse,@defsquadmeta,2022-03-24T20:31:32.000Z,"Def Squad Metaverse
@defsquadmeta
·
25 Mar","The Green-Eyed Bandit. 
@iAmErickSermon
 #rap #hiphop #music #defsquad #ny #nft #Decentraland #Metaverse #Bitcoin
4
10
15",,4,10,15,['https://pbs.twimg.com/media/FOpE4-MXMA4G_w1?format=jpg&name=small'],https://twitter.com/defsquadmeta/status/1507092773434015748
Bitcoin Price,@bbtc,2022-03-24T15:58:27.000Z,"Bitcoin Price
@bbtc
·
24 Mar
Automated","#Bitcoin Price: $44,000 
175
247
1,491",📈,175,247,"1,491",['https://pbs.twimg.com/media/FOoGYurWYAQyS4C?format=jpg&name=medium'],https://twitter.com/bbtc/status/1507024050291359744
Crypto Rover,@rovercrc,2022-03-24T21:14:00.000Z,"Crypto Rover
@rovercrc
·
25 Mar","I predict that #Bitcoin will go to $70,000 within 60 days!
324
280
2,120",,324,280,"2,120",['https://pbs.twimg.com/media/FOn0Z8LVIAIkrma?format=jpg&name=small'],https://twitter.com/rovercrc/status/1507103460516323341
Darran ₿,@Darran_B,2022-03-24T13:45:42.000Z,"Darran ₿
@Darran_B
·
24 Mar","New Air Freshener #Bitcoin
36
67
48",,36,67,48,['https://pbs.twimg.com/media/FOnn3M2XEAQrlFq?format=jpg&name=small'],https://twitter.com/Darran_B/status/1506990641724768260
PayBoltArmy,@PayBoltArmy,2022-03-24T14:59:05.000Z,"PayBoltArmy
@PayBoltArmy
·
24 Mar","Let's Go #PayBoltArmy 

Install #PayBolt App . 
Give Review 5 

#PaymentGateway #web3 #Crypto
#Bitcoin #SHIBA #ETH
36
65
147",🔥,36,65,147,['https://pbs.twimg.com/media/FOn4yfiaMAIqvpj?format=jpg&name=small'],https://twitter.com/PayBoltArmy/status/1507009109157036041
Astro Babies | BABIES & APES | SOLD OUT,@AstroBabiesNFT,2022-03-24T19:17:18.000Z,"Astro Babies | BABIES & APES | SOLD OUT
@AstroBabiesNFT
·
25 Mar","WE HAVE ANNOUNCED WINNER TO OUR ART CONTEST! 

Congrats and we thank EVERYONE who participated! 

We will be launching a WEEKLY RAFFLE starting tomorrow for our discord , dont miss out on joining for a chance to win some awesome prizes! 



#Astrobabies #solana #bitcoin #AB
5
17
48",🏆 🎉,5,17,48,['https://pbs.twimg.com/media/FOoz5Z7XsAADAWF?format=jpg&name=small'],https://twitter.com/AstroBabiesNFT/status/1507074093379686410
Dennis Porter,@Dennis_Porter_,2022-03-24T19:55:58.000Z,"Dennis Porter
@Dennis_Porter_
·
25 Mar","If you think #Bitcoin can’t go to $10,000,000 per coin it’s because you haven’t calculated in nation state and central bank adoption.
166
257
2,132",,166,257,"2,132",[],https://twitter.com/Dennis_Porter_/status/1507083822394851335
TechDev,@TechDev_52,2022-03-24T23:45:50.000Z,"TechDev
@TechDev_52
·
25 Mar","#Bitcoin Wave Structure

2010-2013  1W         vs.         2016-Now  3W
81
290
1,151",,81,290,"1,151",['https://pbs.twimg.com/media/FOpxKWiWYAohijd?format=jpg&name=small'],https://twitter.com/TechDev_52/status/1507141671007531012
JaimeLoopz,@JaimeLoopz,2022-03-24T16:27:15.000Z,"JaimeLoopz
@JaimeLoopz
·
24 Mar","Imagine waiting to buy #Bitcoin at 20K. RIP
2
2
18",⚡,2,2,18,[],https://twitter.com/JaimeLoopz/status/1507031299781013504
Pomp,@APompliano,2022-03-24T18:49:44.000Z,"Pomp
@APompliano
·
24 Mar","Multiple countries are acquiring bitcoin and there are still people who are bearish 
404
454
4,682",🌪 🤯,404,454,"4,682",[],https://twitter.com/APompliano/status/1507067154511937548
Blockworks,@Blockworks_,2022-03-24T17:38:08.000Z,"Blockworks
@Blockworks_
·
24 Mar","JUST IN: ExxonMobil, the largest US oil producer is using excess gas to power #Bitcoin and crypto mining

- Bloomberg
390
1,400
6,369",,390,"1,400","6,369",[],https://twitter.com/Blockworks_/status/1507049137006600199
Crypto Rover,@rovercrc,2022-03-24T12:39:39.000Z,"Crypto Rover
@rovercrc
·
24 Mar","I AM SMELLING A MAJOR #BITCOIN PUMP!
454
311
3,050",,454,311,"3,050",[],https://twitter.com/rovercrc/status/1506974020767567877
Mike Alfred,@mikealfred,2022-03-24T15:43:22.000Z,"Mike Alfred
@mikealfred
·
24 Mar","If you think $44,000 is a lot for 1 #Bitcoin just wait until it trades for $444,000.
301
341
3,345",,301,341,"3,345",[],https://twitter.com/mikealfred/status/1507020256094478339
Binance,@binance,2022-03-24T19:00:00.000Z,"Binance
@binance
·
25 Mar","That's right folks, 
@IOHK_Charles
, Founder & CEO of 
@InputOutputHK
 will be speaking at #BinanceBlockchainWeek!

Charles has been involved in the world of blockchain and cryptocurrencies since the early days of bitcoin. 

You don't want to miss this.
binance.com
Watch Charles live here!
693
1,004
4,671",,693,"1,004","4,671",['https://pbs.twimg.com/ad_img/1507017370635624454/Tw1rGxMx?format=png&name=small'],https://twitter.com/binance/status/1507069740191141891
Benjamin Cowen,@intocryptoverse,2022-03-24T23:09:39.000Z,"Benjamin Cowen
@intocryptoverse
·
25 Mar","I like #Bitcoin at $44k, but would like it better at $45k
399
171
3,357",,399,171,"3,357",[],https://twitter.com/intocryptoverse/status/1507132565085253637
