UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Eugene Scott,@Eugene_Scott,2021-12-08T22:03:10.000Z,"Eugene Scott
@Eugene_Scott
·
9 Dec 2021","Generally, the government is allowed to acquire privately owned land for public use. Under Donald Trump, officials moved at a faster rate to obtain land to build border barriers. The Biden administration, meanwhile, has moved to return land.
cnn.com
Border land returned to Texas family after it was seized for wall
The Biden administration will return the land of a Texas family after seizing the property earlier this year for border wall construction, according to a Tuesday court filing.
2
24
56",,2,24,56,['https://pbs.twimg.com/card_img/1480455398473805827/0o_rMQGN?format=jpg&name=small'],https://twitter.com/Eugene_Scott/status/1468702722245419025
John Durant,@johndurant,2021-12-08T21:44:25.000Z,"John Durant
@johndurant
·
9 Dec 2021","1. How to Marry for Power

2. Shaming Women Raped by Bill

3. War, War, War!

4. Negotiating at Libyan Slave Markets 

5. How to Lose to Donald Trump 

6. The Russiagate Hoax: Six Simple Steps to Undermine An Election

7. Looking the Other Way: Life Lessons from Jeffrey Epstein
Hillary Clinton
@HillaryClinton
 · 8 Dec 2021
I’m excited to invite you to join my new @Masterclass. 

I’ll be teaching the skills I developed throughout my career—the challenges, the triumphs, and all the rest. 

I hope these lessons will help you chart your own path with passion and purpose. https://mstr.cl/303WrlA
3
1
35",,3,1,35,"['https://pbs.twimg.com/profile_images/1291192333199958017/SvH8J8_P_mini.jpg', 'https://pbs.twimg.com/amplify_video_thumb/1468640708441432064/img/Y2TA8hp07OZjBYNP.jpg']",https://twitter.com/johndurant/status/1468698000591573000
David Dye,@DyeDy14,2021-12-08T22:39:08.000Z,"David Dye
@DyeDy14
·
9 Dec 2021","Replying to 
@JoeBiden
Thank you Donald Trump! Thank you DeSantis!
30
5
199",,30,5,199,[],https://twitter.com/DyeDy14/status/1468711771980587013
Theodore,@FredNietzky,2021-12-08T23:42:51.000Z,"Theodore
@FredNietzky
·
9 Dec 2021","But Donald Trump, the greatest warrior-poet of all time, never touches any of that stuff. Checkmate.
Anton (,)
@sixthreeirl
 · 9 Dec 2021
James Madison drank a pint of whiskey a day. Jean Paul Sartre smoked two packs of cigarettes and drank a quart of wine, along with 200mg of meth. Romans drank two thirds of their calories in wine. Voltaire drank 50 cups of coffee.
Show this thread
1
7",🏜 🏜,1,,7,['https://pbs.twimg.com/profile_images/1480618394168614916/hpOhRvQC_mini.jpg'],https://twitter.com/FredNietzky/status/1468727807442313217
CNN International,@cnni,2021-12-08T23:46:29.000Z,"CNN International
@cnni
·
9 Dec 2021","In a soon-to-be-released Masterclass episode on ""The Power of Resilience,"" 2016 Democratic presidential nominee and former Secretary of State Hillary Clinton reads from remarks she had prepared before it became clear that Donald Trump had won the election.
cnn.com
Clinton shares what she prepared for her 2016 presidential victory speech
Hillary Clinton has shared for the first time what would have been her 2016 presidential victory speech.
16
13
53",,16,13,53,['https://pbs.twimg.com/card_img/1480108377036533762/8nFuxFpl?format=jpg&name=small'],https://twitter.com/cnni/status/1468728722220064773
We Wondered Why Not,@TyMurphy19,2021-12-08T23:34:34.000Z,"We Wondered Why Not
@TyMurphy19
·
9 Dec 2021","Replying to 
@PalmerReport
If it's what you say it is...I love it!
~Donald Trump Jr
June 11, 2017
3
1
21",💥,3,1,21,['https://pbs.twimg.com/media/FGH2QwiVUAAmjkP?format=jpg&name=small'],https://twitter.com/TyMurphy19/status/1468725723019956224
𝐒𝐢𝐳𝐳𝐥𝐞 𝐑𝐞𝐩𝐨𝐫𝐭,@TheSizzleReport,2021-12-08T21:06:17.000Z,"𝐒𝐢𝐳𝐳𝐥𝐞 𝐑𝐞𝐩𝐨𝐫𝐭
@TheSizzleReport
·
9 Dec 2021","Why hasn’t Donald Trump been indicted for his role inciting the January 6 insurrection? 

Why hasn’t Donald Trump been indicted for tax fraud by the state of New York?
Raw Story
@RawStory
 · 8 Dec 2021
'My base is going to be very angry': Trump explains what will happen if he doesn't run in 2024 https://rawstory.com/trump-2024-2655948078/…
1
4",🚨 🚨 ♦ ♦,,1,4,['https://pbs.twimg.com/profile_images/879061537423544320/99vcNM5N_mini.jpg'],https://twitter.com/TheSizzleReport/status/1468688407312453643
Nada Elmikashfi,@nadaelmikashfi,2021-12-08T23:57:07.000Z,"Nada Elmikashfi
@nadaelmikashfi
·
9 Dec 2021","They didn’t care about service, or democracy you see, all they cared about was making it criminal to vote absentee. 

A power trip, and one failed civics lesson later, the stench of Donald Trump still wafts through the legislature.
1
1
14",,1,1,14,[],https://twitter.com/nadaelmikashfi/status/1468731396210503687
The Independent,@Independent,2021-12-08T21:26:40.000Z,"The Independent
@Independent
·
9 Dec 2021","Donald Trump predicts his base ‘is going to be very angry’ if he doesn’t run in 2024
independent.co.uk
Donald Trump predicts his base ‘is going to be very angry’ if he doesn’t run in 2024
Trump’s comments, even if he doesn’t run, could chill support for other Republicans
23
8
8",,23,8,8,['https://pbs.twimg.com/card_img/1479970646545379331/CIGIo9RI?format=jpg&name=small'],https://twitter.com/Independent/status/1468693533963997186
"David Gorski, MD, PhD",@gorskon,2021-12-08T19:22:08.000Z,"David Gorski, MD, PhD
@gorskon
·
9 Dec 2021","No, 
@JoeBiden
 and 
@KamalaHarris
 said no such thing. Rather, they said that they would listen to the professionals at 
@US_FDA
 and 
@CDCgov
 regarding the safety and efficacy of #CovidVaccine, not Donald Trump. Antivax lies never die, do they? https://politifact.com/factchecks/2021/jul/23/tiktok-posts/biden-harris-doubted-trump-covid-19-vaccines-not-v/…
Susan Baker
@TigerlillySusan
 · 9 Dec 2021
Replying to @GYamey, @gorskon and @tnicholsmd
Keep in mind that Biden, Kamala and other Dem politicians were saying they wouldn’t get the vax while Trump was president. The lack of trust runs both ways. Conservatives see how some democrat governors have been heavy-handed (at times favoring some over others) w lockdowns,
3
10
74",,3,10,74,['https://pbs.twimg.com/profile_images/1159358239609241600/ckMNTX1R_mini.jpg'],https://twitter.com/gorskon/status/1468662197417037827
