UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Count Bitcoin,@CountBitcoin,2021-12-02T23:51:00.000Z,"Count Bitcoin
@CountBitcoin
·
3 Dec 2021","GTFOH with this Trash!  

#Bitcoin is the 

The rest of the title reads:  Just like Gold
1
1
4",👑,1,1,4,['https://pbs.twimg.com/media/FFpAey7XsAkeBi8?format=jpg&name=small'],https://twitter.com/CountBitcoin/status/1466555530625761283
Neil Jacobs,@NeilJacobs,2021-12-02T23:41:00.000Z,"Neil Jacobs
@NeilJacobs
·
3 Dec 2021","A broken clock is right twice a day.  We have more money because gold bugs are broke af.  

#bitcoin
11
2
57",🤣,11,2,57,['https://pbs.twimg.com/media/FFo-MahXsAA4_Ms?format=jpg&name=small'],https://twitter.com/NeilJacobs/status/1466553014500532227
THE SAITAMA WOLF,@thesaitamawolf,2021-12-02T23:46:08.000Z,"THE SAITAMA WOLF
@thesaitamawolf
·
3 Dec 2021","If the percentage was 0.000007% complete I would not sell a single Saitama! 

#saitamawolfpack #saitama #saitamastrong #holdsaitama #thepeoplescoin #saitamask $saita #bitcoin #ethereum #crypto #cryptocurrencies
Saitamaguru
@Saitamaguru1
 · 3 Dec 2021
@InuSaitama For inquiring minds: Saitamask completion percentage does not reflect time spent in connection with time remaining. We are in the home stretch now do not fret.  Keep checking @certikorg for updates as well as from the development team. Thanks #wolfpack it’s go time!
1
4
16",🐺 ⛑ 🐺 ⛓ ⚔ 🙏,1,4,16,['https://pbs.twimg.com/profile_images/1413222006598864896/PaS6D7Ho_mini.jpg'],https://twitter.com/thesaitamawolf/status/1466554305788346369
wanes,@wanes_on_wanes,2021-12-02T23:42:58.000Z,"wanes
@wanes_on_wanes
·
3 Dec 2021","#Bitcoin effect in the working...
Nayib Bukele
@nayibbukele
 · 3 Dec 2021
There are no vaccine mandates or passports in El Salvador, no mask mandates, no testing requirements to enter the country.

But there are vaccines available for everyone, even tourists, including boosters.

Everybody makes their own choice. So far, +70% have been vaccinated.
2
4",,2,,4,['https://pbs.twimg.com/profile_images/1462280128193572865/FmO8HZue_mini.jpg'],https://twitter.com/wanes_on_wanes/status/1466553508799209477
Vertcoin Fan,@lightspeedvc,2021-12-02T23:50:35.000Z,"Vertcoin Fan
@lightspeedvc
·
3 Dec 2021","And yet low market cap solid #crypto projects like #Vertcoin go unnoticed #Bitcoin
1
12",,,1,12,[],https://twitter.com/lightspeedvc/status/1466555424207900672
SELF₿ANKT & SOVEREIGN,@selfbankt,2021-12-02T23:57:52.000Z,"SELF₿ANKT & SOVEREIGN
@selfbankt
·
3 Dec 2021","#Bitcoin & Lightning improve day by day. This is bullish.
Zeus
@ZeusLN
 · 1 Dec 2021
Zeus v0.6.0-alpha4 is out now!

Release notes + Android APKs + signatures: https://github.com/ZeusLN/zeus/releases/tag/v0.6.0-alpha4…

iOS TestFlight: https://testflight.apple.com/join/gpVFzEHN
Show this thread
4",,,,4,['https://pbs.twimg.com/profile_images/1481509957434441728/F_u2ihld_mini.jpg'],https://twitter.com/selfbankt/status/1466557258926628878
BCrypto387,@TandoCrypto,2021-12-02T23:51:19.000Z,"BCrypto387
@TandoCrypto
·
3 Dec 2021","#ethereum #bitcoin #altcoins

What are you buying during the fear and FUD?

$EGLD $AVAX, $SCRT, what else?

Drop your ETH address for a chance to win 1 ETH! Must follow like RT go!
58
111
55",,58,111,55,[],https://twitter.com/TandoCrypto/status/1466555611747954692
Artimis | NFT Collector,@ArtimisNFT,2021-12-02T23:52:06.000Z,"Artimis | NFT Collector
@ArtimisNFT
·
3 Dec 2021","IN THE NEWS 

Facebook ends ban on #Crypto ads

https://cnbc.com/2021/12/01/facebook-ends-ban-on-cryptocurrency-ads.html…

#NFTs #Bitcoin #ETH #NFT
cnbc.com
Facebook retreats from crypto ad ban
Facebook on Wednesday announced its decision to reverse long-standing policy that prevented most cryptocurrency companies from running ads on its services.
2
4
11",🚨 🚨,2,4,11,['https://pbs.twimg.com/card_img/1479354112579805185/CZg31WNC?format=jpg&name=small'],https://twitter.com/ArtimisNFT/status/1466555809043664898
Anime Limited,@AnimeLtd,2021-12-02T23:59:10.000Z,"Anime Limited
@AnimeLtd
·
3 Dec 2021","Swedish financial and environmental authorities argue that the European Union should ban the mining of cryptocurrencies using the Proof of Work system, due to their intensive energy consumption. It would directly impact Bitcoin and Ethereum. 

#Ethereum #Bitcoin #BTC #Crypto
GIF
1
3
8",,1,3,8,[],https://twitter.com/AnimeLtd/status/1466557586518384642
Hailey Lennon,@HaileyLennonBTC,2021-12-02T23:48:11.000Z,"Hailey Lennon
@HaileyLennonBTC
·
3 Dec 2021","Another spot bitcoin etf rejected 

SEC Rejects WisdomTree’s Spot Bitcoin ETF Application
coindesk.com
SEC Rejects WisdomTree’s Spot Bitcoin ETF Application
The decision comes seven months after the agency said it would start evaluating the asset manager’s application.
12
5
40",😒,12,5,40,['https://pbs.twimg.com/card_img/1481090852084719618/JfhRrfx0?format=jpg&name=small'],https://twitter.com/HaileyLennonBTC/status/1466554822874652672
b-more,@apshago,2021-12-02T23:43:50.000Z,"b-more
@apshago
·
3 Dec 2021","Ada price decoupled from Bitcoin And Eth is a good thing.  Charting a new course. #ada #Cardano
1
3",,1,,3,[],https://twitter.com/apshago/status/1466553729008631810
|| NuriaKenya.com ||,@NuriaStore,2021-12-02T23:49:10.000Z,"|| NuriaKenya.com ||
@NuriaStore
·
3 Dec 2021","In Africa and Indian Subcontinent,  http://NuriaKenya.com is the First e-commerce Store that accepts Bitcoin, Ethereum and Doggy. 
@jack
 @parag
 @elonmusk
 @saylor
 @jordanbpeterson
 @chamath
8
8",,,8,8,['https://pbs.twimg.com/media/FFpAEILWQAAWc9N?format=jpg&name=900x900'],https://twitter.com/NuriaStore/status/1466555071169105922
Jim the #ColorManagement Guy,@raffel,2021-12-02T23:54:47.000Z,"Jim the #ColorManagement Guy
@raffel
·
3 Dec 2021","I love this effing #bitcoin community. Our friends at 
@SeedSigner
 ask for help and boom!
Yegor Petrov
@yeg0rpetrov
 · 3 Dec 2021
One of the best HWWs   twitter.com/SeedSigner/sta…
4",🔑 ⚡ 👊,,,4,"['https://pbs.twimg.com/profile_images/1478205928252092419/DqEOm7j4_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1466482778787090432/pu/img/1sN7FkNu5ium3xoK.jpg']",https://twitter.com/raffel/status/1466556484582621188
Parkerhodls,@ihodlsats,2021-12-02T23:52:00.000Z,"Parkerhodls
@ihodlsats
·
3 Dec 2021","I find it hard orange pilling people.. you have to truly understand ALL of the aspects of #Bitcoin in order to have a large allocation of your economic energy stored in the network.... #my2cents
2
12",,2,,12,[],https://twitter.com/ihodlsats/status/1466555781864738817
Chad Everett Harris,@chadeverett,2021-12-02T23:41:59.000Z,"Chad Everett Harris
@chadeverett
·
3 Dec 2021","[Team Foundry] 
4 Months ago during a zoom call, I ask 
@colyermike
 to come visit 
@RiotBlockchain
 in December.  Today, the 
@FoundryServices
 Team hung out and enjoyed Brett's  BBQ + took the EPIC tour right here in Rockdale.  

#teambuilding #bitcoin #datacenters #energy $RIOT
4
6
67",,4,6,67,['https://pbs.twimg.com/media/FFo-BLeXsAIAB0i?format=jpg&name=small'],https://twitter.com/chadeverett/status/1466553261947703298
Car González,@ThrillerX_,2021-12-02T23:56:20.000Z,"Car González
@ThrillerX_
·
3 Dec 2021"," Sats back on tacos through 
@OshiApp
 

 Thanks 
@IBEX_Mercado
 for feeding the Plebs tonight and getting 
@tacobabyaustin
 on a #Bitcoin Standard!!!!

LFG!!!
1
3",🌮 ⚡ ✝ 🔑 🐝 🟠 🧡 🔥 🔥 🔥,1,,3,"['https://pbs.twimg.com/media/FFpBsifXwAQp3eC?format=jpg&name=small', 'https://pbs.twimg.com/media/FFpBsifXEAEuPV1?format=jpg&name=small']",https://twitter.com/ThrillerX_/status/1466556872966565889
Tracy Lawman,@TracyLawman,2021-12-02T23:27:12.000Z,"Tracy Lawman
@TracyLawman
·
3 Dec 2021","The real measure of your wealth is how much you’d be worth if you lost all your money..  

Never lack finance while investing into bitcoin 
Start winning from today 
#Bitcoin will give you a better life
12
7",,,12,7,[],https://twitter.com/TracyLawman/status/1466549540832612355
shimmer field,@blackwell_smith,2021-12-02T23:58:13.000Z,"shimmer field
@blackwell_smith
·
3 Dec 2021","Replying to 
@WatcherGuru
 and 
@BurnBNB
Hold my  that’s $2,240,808.32 in today’s money  #Axion #AXN $AXN 
@axion_network
 http://axion.network #bitcoin #MATIC #polygon #Luxy
10
16
27",🍺 💰,10,16,27,['https://pbs.twimg.com/media/FFpCIGFXIAQ7ziE?format=jpg&name=900x900'],https://twitter.com/blackwell_smith/status/1466557348764282883
Hailey Lennon,@HaileyLennonBTC,2021-12-02T23:56:21.000Z,"Hailey Lennon
@HaileyLennonBTC
·
3 Dec 2021","Confused by what’s going on with Spot Bitcoin ETF? You aren’t alone. 

Read my newest 
@ForbesCrypto
 article!
forbes.com
Why The SEC’s Stance On Bitcoin ETFs May Need To Change
In approving Bitcoin futures ETFs but rejecting spot price competitors, many observers feel that the SEC is being contradictory in is rulings.
7
7
37",,7,7,37,['https://pbs.twimg.com/card_img/1481609230331551745/cJLbwLXe?format=jpg&name=small'],https://twitter.com/HaileyLennonBTC/status/1466556878146523137
Marathon Digital Holdings,@MarathonDH,2021-12-02T23:37:13.000Z,"Marathon Digital Holdings
@MarathonDH
·
3 Dec 2021","This morning, 
@fgthiel
 was interviewed by 
@DADavidsonCo
 about our asset light model, the future of power, energy, and #bitcoin mining, and the latest updates at Marathon. Click the link below for the full interview.

https://wsw.com/webcast/dadco58/register.aspx?conf=dadco58&page=mara&url=https://wsw.com/webcast/dadco58/mara/1895880…
5
10
56",,5,10,56,[],https://twitter.com/MarathonDH/status/1466552062347333633
